INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,HBCU,PBI,MENONLY,WOMENONLY,RELAFFIL,DISTANCEONLY,UGDS,AGE_ENTRY,FEMALE,MARRIED,DEPENDENT,MD_FAMINC,percent_on_student_loan,id_number
Pinnacle Career Institute-South Kansas City,Kansas City,MO,64131-3367,Accrediting Council for Independent Colleges and Schools,1,2,1,2,3,11.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,580.0,31.037950664,0.6167929293,0.2702020202,0.148989899,12204.27511,84.86,2034
Tidewater Community College,Norfolk,VA,23510,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,12.0,1.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,24631.0,26.648109925,0.5858347585,0.1993277113,0.4119242791,20159.32055,25.39,3961
Longwood University,Farmville,VA,23909,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,1,33.0,12.0,14.0,0.0,0.0,0.0,0.0,-2.0,0.0,4400.0,20.038327526,0.6869918699,0.0133565621,0.9442508711,74729.45849,53.88,3919
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,12.0,2.0,3.0,1.0,0.0,0.0,0.0,-2.0,0.0,2905.0,24.955772994,0.5800391389,0.0665362035,0.5671232877,14293.8475,0.0,31
Concorde Career College-Kansas City,Kansas City,MO,64111-2407,Accrediting Commission of Career Schools and Colleges,1,2,1,2,3,11.0,10.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,590.0,27.07020202,0.854040404,0.2191919192,0.2954545455,17036.23941,45.02,1361
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,32114-3900,Southern Association of Colleges and Schools Commission on Colleges,1,2,3,4,2,13.0,5.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,9625.0,25.861753631,0.1750044827,0.3390711852,0.4306975076,36403.0875,15.04,5085
Western Suffolk BOCES,Northport,NY,11768,Council on Occupational Education,1,1,1,1,1,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,336.0,28.293209877,0.6604938272,0.1450617284,0.3765432099,23637.55563,88.53,5050
Widener University-Delaware Law School,Wilmington,DE,19803,Middle States Commission on Higher Education,0,3,3,4,2,21.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,89.0,21.360485269,0.566146736,0.0346620451,0.8532640092,69925.79908,59.41,4268
National American University-Burnsville,Burnsville,MN,55337-2548,North Central Association of Colleges and Schools The Higher Learning Commission,0,33,2,3,3,21.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,182.0,33.069607238,0.7090273494,0.2592021386,0.0852354514,13568.95846,93.79,6920
El Camino College-Compton Center,Compton,CA,90221-5393,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,2,2,2,1,21.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,6734.0,23.890837568,0.5648254385,0.0569578758,0.6096541551,13950.40476,0.0,293
Prism Career Institute-West Atlantic City,West  Atlantic City,NJ,08232,Accrediting Council for Continuing Education & Training,0,3,1,1,3,22.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,64.0,28.521376434,0.9113660063,0.1303441084,0.2148070907,17468.07259,62.03,5132
Paul Mitchell the School-Mclean,McLean,VA,22102,National Accrediting Commission of Cosmetology Arts and Sciences,0,3,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,184.0,24.655063291,0.9303797468,0.1503164557,0.4841772152,26760.90284,50.18,5928
University of Maryland-University College,Adelphi,MD,20783-8010,Middle States Commission on Higher Education,1,1,3,4,1,21.0,5.0,15.0,0.0,0.0,0.0,0.0,-2.0,0.0,33892.0,29.88248982,0.5324717286,0.4531179321,0.0911793215,28764.87055,30.15,1595
SUNY College at Potsdam,Potsdam,NY,13676-2294,Middle States Commission on Higher Education,1,1,3,4,1,33.0,13.0,14.0,0.0,0.0,0.0,0.0,-2.0,0.0,3669.0,20.433759591,0.5826086957,0.0163682864,0.9120204604,51125.76248,72.86,2613
Washburn University,Topeka,KS,66621-0001,North Central Association of Colleges and Schools The Higher Learning Commission,1,2,3,4,1,12.0,9.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,5031.0,24.777625727,0.5644885392,0.1238453644,0.5791994526,31021.38305,52.03,1390
University of Phoenix-Colorado,Lone Tree,CO,80124,North Central Association of Colleges and Schools The Higher Learning Commission,0,38,3,4,3,21.0,11.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,1350.0,31.763342552,0.697885046,0.2945153379,0.0874417943,16789.83113,54.99,7233
Ravenscroft Beauty College,Fort Wayne,IN,46835,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,157.0,25.869747899,0.731092437,0.1554621849,0.3361344538,13605.67836,55.03,1232
University of South Florida-Sarasota-Manatee,Sarasota,FL,34243-2049,Southern Association of Colleges and Schools Commission on Colleges,0,3,3,4,1,21.0,5.0,9.0,0.0,0.0,0.0,0.0,-2.0,0.0,1690.0,22.990216201,0.60030104,0.0777230432,0.7297482211,32119.94624,46.03,6050
Everest College-Colorado Springs,Colorado Springs,CO,80916,Accrediting Council for Independent Colleges and Schools,1,4,1,2,3,11.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,330.0,27.421203438,0.8219570406,0.2448687351,0.2992840095,14452.63378,57.58,571
University of Delaware,Newark,DE,19716,Middle States Commission on Higher Education,1,1,3,4,1,21.0,14.0,16.0,0.0,0.0,0.0,0.0,-2.0,0.0,18222.0,19.699098486,0.5972104099,0.007654363,0.9651301242,100934.0973,51.56,692
Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,55432,National Accrediting Commission of Cosmetology Arts and Sciences,0,15,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,109.0,26.303476355,0.9242092076,0.1331036643,0.3589101159,13687.67652,64.85,6249
Ventura Adult and Continuing Education,Ventura,CA,93003-0000,Council on Occupational Education,1,1,1,1,1,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,104.0,32.764705882,0.4852941176,0.2058823529,0.2058823529,8367.558793,12.42,4928
Methodist University,Fayetteville,NC,28311-1420,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,2,12.0,11.0,10.0,0.0,0.0,0.0,0.0,71.0,0.0,2171.0,22.474963181,0.440353461,0.1450662739,0.7334315169,38423.8754,58.18,2727
Spa Tech Institute-Plymouth,Plymouth,MA,02360,National Accrediting Commission of Cosmetology Arts and Sciences,0,4,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,153.0,29.600301659,0.9306184012,0.173453997,0.3333333333,23274.68542,42.66,5659
Cerritos College,Norwalk,CA,90650-6298,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,2,2,1,21.0,1.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,18171.0,23.499950015,0.5627311806,0.0734779566,0.6282115365,16800.15444,3.88,270
Central Ohio Technical College,Newark,OH,43055-1767,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,23.0,1.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,3068.0,27.283226051,0.6936766376,0.2192351382,0.3873532753,24580.04569,66.53,2849
Bradford-Union Technical Center,Starke,FL,32091,Council on Occupational Education,1,1,1,1,1,32.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,121.0,28.775862069,0.5862068966,0.2586206897,0.2327586207,13568.32071,0.0,719
Huntington Junior College,Huntington,WV,25701,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,3,13.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,642.0,29.62757732,0.6636597938,0.2229381443,0.1920103093,2172.717727,84.53,4070
Forrest College,Anderson,SC,29624-2405,Accrediting Council for Independent Colleges and Schools,1,1,2,2,3,13.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,111.0,28.927710843,0.8855421687,0.2891566265,0.1807228916,14344.59187,69.63,3466
Lehigh Carbon Community College,Schnecksville,PA,18078-2598,Middle States Commission on Higher Education,1,1,2,2,1,21.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,5906.0,24.902807203,0.6065660577,0.1247021446,0.5999470479,25940.34707,28.61,3275
Health And Style Institute,High Point,NC,27265,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,12.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,193.0,29.335834897,0.9643527205,0.2195121951,0.2532833021,13494.14901,73.82,6301
Lewis University,Romeoville,IL,60446-2200,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,21.0,13.0,13.0,0.0,0.0,0.0,0.0,30.0,0.0,4605.0,22.647906977,0.5879069767,0.0665116279,0.7786046512,59308.93676,67.66,1079
Towson University,Towson,MD,21252-0001,Middle States Commission on Higher Education,1,1,3,4,1,13.0,13.0,16.0,0.0,0.0,0.0,0.0,-2.0,0.0,18546.0,21.558554572,0.6299410029,0.0379056047,0.8349557522,61883.02988,47.08,1618
Career Quest Learning Centers-Jackson,Jackson,MI,48901,Council on Occupational Education,0,2,1,2,3,13.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,251.0,30.714925373,0.7641791045,0.2365671642,0.1798507463,11396.05699,69.79,6107
Anna Maria College,Paxton,MA,01612-1198,New England Association of Schools and Colleges Commission on Institutions of Higher Education,1,1,3,4,2,41.0,6.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,1108.0,24.376344086,0.623655914,0.133640553,0.6943164363,62046.8358,77.25,1630
North Shore Community College,Danvers,MA,01923-0840,New England Association of Schools and Colleges Commission on Institutions of Higher Education,1,1,2,2,1,21.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,6707.0,24.932238193,0.5900924025,0.1072895277,0.5428644764,20646.61969,25.34,1728
Harding University,Searcy,AR,72143,North Central Association of Colleges and Schools The Higher Learning Commission,1,2,3,4,2,32.0,14.0,14.0,0.0,0.0,0.0,0.0,74.0,0.0,4485.0,21.331257783,0.5722291407,0.0809464508,0.8505603985,66148.59722,55.26,156
Nightingale College,Ogden,UT,84403,Accrediting Bureau of Health Education Schools,1,1,2,2,3,13.0,10.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,156.0,32.835164835,0.8534798535,0.5531135531,0.0805860806,35572.06106,90.86,5611
Beulah Heights University,Atlanta,GA,30316,Transnational Association of Christian Colleges and Schools,1,1,3,4,2,11.0,5.0,6.0,0.0,1.0,0.0,0.0,42.0,0.0,451.0,40.537848606,0.5697211155,0.2589641434,0.0916334661,11308.1536,84.43,883
University of New England,Biddeford,ME,04005-9599,New England Association of Schools and Colleges Commission on Institutions of Higher Education,1,1,3,4,2,22.0,12.0,14.0,0.0,0.0,0.0,0.0,-2.0,0.0,2217.0,20.212216132,0.738449491,0.0180109632,0.9216914644,81233.49508,67.32,1551
Ross Medical Education Center-Owensboro,Owensboro,KY,42303-7757,Accrediting Bureau of Health Education Schools,0,6,0,0,3,13.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,77.0,27.678235294,0.9435294118,0.1958823529,0.3194117647,16006.29191,65.71,7220
Glendale Community College,Glendale,AZ,85302,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,1,2,1,21.0,1.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,16156.0,25.285772565,0.5462519123,0.1390107088,0.524018358,18705.83744,17.84,97
Paul Mitchell the School-Honolulu,Honolulu,HI,96816-2433,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,146.0,23.88172043,0.9139784946,0.2311827957,0.435483871,20610.95623,48.87,6648
Inter American University of Puerto Rico-Aguadilla,Aguadilla,PR,00603,Middle States Commission on Higher Education,0,11,3,4,2,21.0,10.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,4300.0,21.627922008,0.5410383455,0.0601572598,0.7911460577,11031.25949,23.2,4220
Maysville Community and Technical College,Maysville,KY,41056,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,2,1,41.0,2.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,2606.0,27.005754759,0.6193005755,0.2434705622,0.3678618858,13690.77351,40.56,1437
Dallas Christian College,Dallas,TX,75234-7299,Association for Bibical Higher Educaiton,1,1,3,3,2,21.0,7.0,7.0,0.0,0.0,0.0,0.0,48.0,0.0,309.0,24.815315315,0.4684684685,0.1576576577,0.6756756757,35566.23441,97.15,3674
Vatterott College-St Joseph,Saint Joseph,MO,64506,Accrediting Commission of Career Schools and Colleges,0,6,2,2,3,13.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,164.0,29.520094563,0.5200945626,0.1733648542,0.1895193065,10490.10073,33.77,5245
Western New Mexico University,Silver City,NM,88061,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,1,33.0,7.0,10.0,0.0,0.0,0.0,0.0,-2.0,0.0,2105.0,25.439698492,0.567839196,0.1591289782,0.5368509213,20736.20229,40.75,2350
Community College of Aurora,Aurora,CO,80011-9036,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,11.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,5347.0,27.814805393,0.6148562707,0.2141948614,0.3708979903,21750.57812,25.04,587
Raritan Valley Community College,Branchburg,NJ,08876,Middle States Commission on Higher Education,1,1,2,2,1,41.0,2.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0,6579.0,23.466105094,0.5202567188,0.0898515844,0.6734857601,30437.24674,9.24,2309
Victoria College,Victoria,TX,77901,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,13.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,3516.0,24.47804266,0.6606022585,0.1411543287,0.5081555834,19288.69366,13.16,3827
Jones College-Jacksonville,Jacksonville,FL,32211,Accrediting Council for Independent Colleges and Schools,1,1,2,3,2,11.0,5.0,6.0,0.0,1.0,0.0,0.0,-2.0,0.0,490.0,31.544198895,0.7817679558,0.182320442,0.1685082873,13308.81105,89.09,775
Eastern Oklahoma State College,Wilburton,OK,74578-4999,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,33.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1325.0,24.421161826,0.6400414938,0.1846473029,0.5145228216,19924.29466,25.6,3044
Vanguard College of Cosmetology-Slidell,Slidell,LA,70458-0458,National Accrediting Commission of Cosmetology Arts and Sciences,1,3,1,1,3,23.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,94.0,23.18,0.972,0.082,0.586,18403.50324,73.29,1517
Oglethorpe University,Atlanta,GA,30319-2797,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,2,21.0,15.0,11.0,0.0,0.0,0.0,0.0,-2.0,0.0,1064.0,21.867961165,0.6116504854,0.0368932039,0.8252427184,40823.28545,70.85,928
Lourdes University,Sylvania,OH,43560-2898,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,21.0,9.0,9.0,0.0,0.0,0.0,0.0,30.0,0.0,1449.0,23.845588235,0.6985294118,0.0882352941,0.6632352941,34647.16597,81.4,2921
National Aviation Academy of Tampa Bay,Clearwater,FL,33760,Council on Occupational Education,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,605.0,27.085561497,0.0374331551,0.2098930481,0.3542780749,20823.66445,72.96,4638
East Tennessee State University,Johnson City,TN,37614,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,1,13.0,13.0,15.0,0.0,0.0,0.0,0.0,-2.0,0.0,11162.0,22.9612388,0.5810284379,0.1008959875,0.7150370082,32952.22586,51.4,3556
Empire Beauty School-Michigan,Grand Rapids,MI,49525-2440,National Accrediting Commission of Cosmetology Arts and Sciences,1,11,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,298.0,25.600282087,0.9232722144,0.0942172073,0.3839210155,10076.58274,69.33,1781
Lake Area Technical Institute,Watertown,SD,57201-0730,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,33.0,3.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1615.0,22.12267658,0.5107806691,0.0617100372,0.7657992565,48750.06785,82.23,3513
Waukesha County Technical College,Pewaukee,WI,53072-4601,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,1,2,1,21.0,1.0,3.0,0.0,0.0,0.0,0.0,-2.0,0.0,5304.0,27.635910224,0.5399002494,0.1379883624,0.4039900249,24649.12121,27.47,4150
Le Cordon Bleu College of Culinary Arts-Pasadena,Pasadena,CA,91101,Accrediting Council for Independent Colleges and Schools,1,1,1,2,3,12.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1792.0,25.994092374,0.4967776584,0.1106337272,0.4812030075,18316.64865,74.17,5081
Delaware State University,Dover,DE,19901,Middle States Commission on Higher Education,1,1,3,4,1,13.0,10.0,14.0,1.0,0.0,0.0,0.0,-2.0,0.0,3654.0,20.383529412,0.6352941176,0.0188235294,0.896,40046.9878,70.84,691
Missouri State University-West Plains,West Plains,MO,65775-2715,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,33.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1571.0,24.429133858,0.5299212598,0.1937007874,0.5866141732,22210.08496,30.81,2105
Lancaster Beauty School,Lancaster,CA,93534,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,124.0,25.130232558,0.7255813953,0.1581395349,0.4744186047,12560.37109,69.7,371
Virginia College-Mobile,Mobile,AL,36608,Accrediting Council for Independent Colleges and Schools,0,33,1,2,3,12.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,575.0,29.129327399,0.7731618859,0.1807204088,0.2466617211,13449.66401,83.49,5627
Palace Beauty College,Los Angeles,CA,90006,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,148.0,30.012820513,0.9038461538,0.1987179487,0.2820512821,12525.41666,44.72,5783
Clearfield County Career and Technology Center,Clearfield,PA,16830,Pennsylvania State Board of Vocational Education Bureau of Career and Technical Education,1,1,1,1,1,41.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,64.0,26.760330579,0.826446281,0.2231404959,0.3966942149,23247.21486,79.17,5143
Ashland County-West Holmes Career Center,Ashland,OH,44805-9377,Council on Occupational Education,1,1,1,1,1,42.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,53.0,29.351145038,0.6870229008,0.2671755725,0.2061068702,16517.94535,60.0,2828
Trumbull Business College,Warren,OH,44484-3200,Accrediting Council for Independent Colleges and Schools,1,1,2,2,3,21.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,192.0,32,0.6796536797,0.2510822511,0.1645021645,9559.384914,80.42,3010
Miller-Motte Technical College-Conway,Conway,SC,29526-9508,Accrediting Council for Independent Colleges and Schools,0,7,1,2,3,22.0,3.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,622.0,28.3253391,0.847091195,0.2431210692,0.2297562893,13079.63357,89.09,6586
Cleveland Institute of Dental-Medical Assistants-Cleveland,Cleveland,OH,44115-2285,Accrediting Commission of Career Schools and Colleges,1,3,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,89.0,27.182704019,0.928136419,0.0962241169,0.2387332521,11118.2047,84.92,2865
Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,Middle States Commission on Higher Education,0,23,3,3,1,13.0,12.0,13.0,0.0,0.0,0.0,0.0,-2.0,0.0,3829.0,21.701308336,0.4969484439,0.0701352126,0.8119499612,61666.31769,68.79,3320
Stark State College,North Canton,OH,44720,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,21.0,1.0,4.0,0.0,0.0,0.0,0.0,-2.0,0.0,11319.0,27.647699758,0.5754640839,0.1357277374,0.3993812214,16057.90846,58.89,2997
Empire Beauty School-Owings Mills,Owings Mills,MD,21117,National Accrediting Commission of Cosmetology Arts and Sciences,0,13,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,110.0,26.004224894,0.9447513812,0.1316217095,0.3734156646,13126.08847,68.75,5573
Nazarene Bible College,Colorado Springs,CO,80910-3704,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,3,2,11.0,5.0,6.0,0.0,0.0,0.0,0.0,59.0,0.0,758.0,35.666666667,0.3772893773,0.6117216117,0.1282051282,32917.9381,48.14,610
Pulaski Technical College,North Little Rock,AR,72118-3347,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,1,2,1,13.0,2.0,4.0,0.0,1.0,0.0,0.0,-2.0,0.0,8364.0,27.578729801,0.6025930101,0.1493799324,0.4030439684,16548.36694,60.21,180
University of New Hampshire at Manchester,Manchester,NH,03101-1113,New England Association of Schools and Colleges Commission on Institutions of Higher Education,0,3,3,3,1,12.0,9.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,718.0,19.994148936,0.5657801418,0.0106382979,0.9413120567,86903.62194,53.52,2216
Tennessee College of Applied Technology-Newbern,Newbern,TN,38059,Council on Occupational Education,1,1,1,1,1,41.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,276.0,27.625786164,0.3301886792,0.2264150943,0.358490566,14354.04617,0.0,3599
Rizzieri Aveda School for Beauty and Wellness,Voorhees,NJ,08043-1800,National Accrediting Commission of Cosmetology Arts and Sciences,1,1,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,253.0,24.765395894,0.9560117302,0.0997067449,0.5835777126,35446.17789,50.5,2275
Rochester Institute of Technology,Rochester,NY,14623-5603,Middle States Commission on Higher Education,1,1,3,4,2,21.0,14.0,17.0,0.0,0.0,0.0,0.0,-2.0,0.0,12635.0,20.226472374,0.3450020235,0.0169971671,0.9216916228,67527.35051,60.58,2564
Lamar State College-Orange,Orange,TX,77630,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,2,1,22.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1841.0,25.151624549,0.714801444,0.1624548736,0.5162454874,20920.23483,23.62,3717
Redstone College,Broomfield,CO,80021-3465,Accrediting Council for Independent Colleges and Schools,1,1,2,2,3,13.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,552.0,27.355521936,0.0529500756,0.223903177,0.3177004539,24442.69289,67.14,574
Point University,West Point,GA,31833,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,3,2,32.0,11.0,11.0,0.0,0.0,0.0,0.0,48.0,0.0,1399.0,26.007972665,0.4977220957,0.132118451,0.6651480638,35855.57347,72.83,873
University of Phoenix-Puerto Rico,Guaynabo,PR,00968-3028,North Central Association of Colleges and Schools The Higher Learning Commission,0,38,3,4,3,13.0,11.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,307.0,31.763342552,0.697885046,0.2945153379,0.0874417943,16789.83113,60.13,4673
University of Nebraska at Omaha,Omaha,NE,68182-0225,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,1,11.0,9.0,15.0,0.0,0.0,0.0,0.0,-2.0,0.0,11989.0,22.582371667,0.545563072,0.0809789097,0.7264226025,43258.2814,45.0,2168
St. Gregory's University,Shawnee,OK,74804,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,41.0,11.0,8.0,0.0,0.0,0.0,0.0,30.0,0.0,596.0,24.73458445,0.5576407507,0.1420911528,0.6756032172,40211.81115,63.49,3075
Toni & Guy Hairdressing Academy-Ambler,Ambler,PA,19002,National Accrediting Commission of Cosmetology Arts and Sciences,1,2,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,115.0,24.99719888,0.837535014,0.1036414566,0.4733893557,10396.60534,93.06,3171
Virginia College-Augusta,Augusta,GA,30909,Accrediting Council for Independent Colleges and Schools,0,33,2,2,3,12.0,5.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,921.0,29.129327399,0.7731618859,0.1807204088,0.2466617211,13449.66401,84.96,6402
Cortiva Institute-New Jersey,Wall,NJ,07719,Commission on Massage Therapy Accreditation,0,2,1,1,3,21.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,71.0,28.958762887,0.7092783505,0.1360824742,0.3216494845,16980.87514,98.48,6570
Digital Film Academy,New York,NY,10036,Council on Occupational Education,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,88.0,28.775,0.25,0.125,0.325,11598.79081,36.84,6954
University of Richmond,University of Richmond,VA,23173,Southern Association of Colleges and Schools Commission on Colleges,1,1,3,4,2,12.0,14.0,14.0,0.0,0.0,0.0,0.0,-2.0,0.0,3223.0,21.316666667,0.5380952381,0.0511904762,0.8726190476,67523.65131,39.69,3948
Dakota College at Bottineau,Bottineau,ND,58318-1198,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,2,1,43.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,465.0,22.83436853,0.4285714286,0.0786749482,0.7329192547,25808.27461,38.08,2808
Bradford School,Pittsburgh,PA,15219,Accrediting Council for Independent Colleges and Schools,1,1,2,2,3,11.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,413.0,21.084033613,0.7226890756,0.0231092437,0.8592436975,24028.09094,92.87,3184
Brightwood College-Beaumont,Beaumont,TX,77706,Accrediting Council for Independent Colleges and Schools,0,4,1,2,3,12.0,4.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,198.0,26.344939271,0.844534413,0.2060728745,0.3178137652,13778.86468,66.36,5370
St Catherine University,Saint Paul,MN,55105,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,2,11.0,9.0,13.0,0.0,0.0,0.0,1.0,30.0,0.0,3399.0,24.898132428,0.9586870402,0.1346915676,0.5766836446,40430.21067,75.27,1954
Davenport University,Grand Rapids,MI,49512-9396,North Central Association of Colleges and Schools The Higher Learning Commission,1,13,3,4,2,21.0,5.0,12.0,0.0,0.0,0.0,0.0,-2.0,0.0,6348.0,28.080061983,0.6311983471,0.2133264463,0.3561466942,28007.59187,70.6,1785
College of the Albemarle,Elizabeth City,NC,27906-2327,Southern Association of Colleges and Schools Commission on Colleges,1,1,2,2,1,32.0,2.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1955.0,25.738842975,0.6487603306,0.1595041322,0.5024793388,15994.37111,0.0,2660
Cambridge Technical Institute,San Juan,PR,00918,Accrediting Commission of Career Schools and Colleges,1,1,1,1,3,11.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,145.0,28.1,0.59375,0.1,0.33125,0,0.0,5571
Kansas State University,Manhattan,KS,66506,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,3,4,1,13.0,15.0,15.0,0.0,0.0,0.0,0.0,-2.0,0.0,19727.0,21.282487577,0.5148321036,0.0686643578,0.8464086734,64066.46088,49.22,1367
