Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
Paul Robeson High School,HS,6835 S Normal Blvd ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609707.pdf,No,Weak,29.0,NDA,NDA,Weak,33.0,Average,40.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,73.5%,26.4,94.7%,97.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.6,11,12.7,12.7,1.1,13.6,0.9,2.9,40.6,42.2,733,45,53.3,68,ENGLEWOOD,6,7,1,609707
John Hancock College Preparatory High School,HS,4034 W 56th St ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609694.pdf,No,Average,51.0,Average,44,Average,44.0,Average,41.0,Weak,37,Average,42,Average,50,Weak,44,78.2%,7.5,95.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,13.8,14.7,15,0.4,15.8,1.1,22.6,56.1,45.9,967,44,87.4,62,WEST ELSDON,13,8,1,609694
James B Farnsworth Elementary School,ES,5414 N Linder Ave ,60630,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609912.pdf,No,Average,55.0,Strong,62,Average,40.0,Weak,38.0,Strong,63,Average,59,Strong,55,Average,50,94.2%,1.7,95.6%,100.0%,68.4,33.1,50.3,60.8,62.7,55,52.1,57.6,59.2,60.4,30.2,41.8,30.7,25.6,1.0,0.3,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,574,30,NDA,11,JEFFERSON PARK,45,16,0,609912
Sir Miles Davis Magnet Elementary Academy,ES,6730 S Paulina St ,60636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610521.pdf,No,Weak,35.0,NDA,NDA,Average,51.0,Average,54.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.0%,57.8,94.5%,100.0%,63.9,62.3,24.8,14.1,43.1,52,22.6,17.1,49.1,45.5,4.4,13.3,5.9,3.2,0.0,-0.9,Yellow,Red,25.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,354,43,NDA,67,WEST ENGLEWOOD,15,7,1,610521
John J Pershing Elementary Humanities Magnet,ES,3113 S Rhodes Ave ,60616,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610126.pdf,No,NDA,,Very Strong,90,NDA,,NDA,,Strong,70,Strong,78,NDA,NDA,NDA,NDA,95.5%,19.2,96.7%,100.0%,NDA,92.3,56.3,56.3,77.1,80.9,NDA,NDA,NDA,NDA,NDA,NDA,54.9,39.2,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,258,40,NDA,35,DOUGLAS,4,2,0,610126
Irma C Ruiz Elementary School,ES,2410 S Leavitt St ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610125.pdf,Yes,Average,57.0,Average,59,Average,57.0,Strong,62.0,Average,51,Average,56,Average,50,Average,51,95.5%,15.9,95.0%,95.2%,55.8,40.7,19.4,26.4,44,41.9,38.9,33.6,57.5,48.5,10.7,27.2,10.7,12.8,-0.4,0.4,Red,Yellow,28.8,16.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,916,39,NDA,31,LOWER WEST SIDE,25,10,0,610125
Socorro Sandoval Elementary School,ES,5534 S Saint Louis Ave ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610226.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Weak,44,Average,50,95.8%,3.7,96.5%,98.9%,77.3,47.9,44.1,23,53,61.5,NDA,NDA,NDA,NDA,NDA,NDA,15.9,9.1,-0.5,-0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1186,44,NDA,63,GAGE PARK,14,8,1,610226
Albert G Lane Technical High School,HS,2501 W Addison St ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609720.pdf,No,Very Strong,88.0,NDA,NDA,Strong,62.0,Average,52.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.3%,2.1,96.2%,99.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,19.1,19.5,19.9,20.1,1,23.4,3.5,67.9,92.2,79.8,4368,35,90.7,5,NORTH CENTER,47,19,0,609720
Frank W Reilly Elementary School,ES,3650 W School St ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610144.pdf,No,Average,48.0,NDA,NDA,Weak,33.0,Weak,34.0,NDA,NDA,NDA,NDA,Average,48,Average,51,97.0%,8.7,96.7%,100.0%,77.8,40.1,39.5,27,63.2,62.7,48.7,33.2,62.7,59.2,11.6,30.3,15.5,9.8,0.2,0.5,Yellow,Yellow,22.5,69,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1195,29,NDA,21,AVONDALE,35,17,1,610144
Cyrus H McCormick Elementary School,ES,2712 S Sawyer Ave ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610063.pdf,Yes,NDA,,Strong,60,NDA,,NDA,,Strong,61,Average,54,Average,52,Strong,56,95.9%,4.7,95.9%,100.0%,55.3,39.4,42.1,22.6,43.9,54.2,NDA,NDA,NDA,NDA,NDA,NDA,25.2,10.3,-0.2,0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,894,37,NDA,30,SOUTH LAWNDALE,22,10,0,610063
South Loop Elementary School,ES,1212 S Plymouth Ct ,60605,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609990.pdf,No,Very Strong,84.0,Strong,66,Weak,34.0,Weak,36.0,Average,57,Average,46,Strong,54,Weak,46,95.3%,12.7,97.2%,100.0%,89,70.1,81.7,80.1,63.5,66.8,72,68.7,70.9,71.6,27.3,40.9,54.2,48.8,1.0,1.5,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,795,38,NDA,33,NEAR SOUTH SIDE,2,1,0,609990
Bernhard Moos Elementary School,ES,1711 N California Ave ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610076.pdf,No,Average,50.0,Weak,34,Average,47.0,Weak,32.0,Weak,34,Weak,31,NDA,NDA,NDA,NDA,93.0%,45.5,96.3%,98.5%,52.7,52.4,43,26.5,60.8,61.6,60.6,30.5,70.8,61.3,10.9,12.7,24.0,7.5,1.4,0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,429,34,NDA,24,WEST TOWN,1,14,1,610076
Joseph Lovett Elementary School,ES,6333 W Bloomingdale Ave ,60639,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610043.pdf,No,Average,43.0,NDA,NDA,Weak,32.0,Weak,22.0,NDA,NDA,NDA,NDA,Average,49,Weak,45,95.4%,16.1,95.4%,100.0%,68.5,62.7,23.5,33.1,51.2,51.2,32.9,37.3,40.3,65.5,7.8,27.5,9.1,8.3,-0.2,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,490,29,NDA,25,AUSTIN,29,25,1,610043
Thomas J Higgins Elementary Community Academy,ES,11710 S Morgan St ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610295.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,49,Average,53,95.2%,0.5,95.2%,100.0%,62,30.4,35.7,25.2,58.3,63.7,43.6,35.3,63.8,57,9.1,20.5,19.1,9.8,1.7,0.4,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,369,49,NDA,53,WEST PULLMAN,34,5,0,610295
Martin A Ryerson Elementary School,ES,646 N Lawndale Ave ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610154.pdf,No,Average,40.0,Weak,32,Average,48.0,Average,43.0,Average,41,Weak,37,Weak,45,Average,48,95.5%,95.1,96.8%,100.0%,63.6,48.6,33.3,19.2,48.9,72.9,59.2,26.4,93.3,67.5,13.6,11.4,23.1,17.1,2.8,0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,445,34,NDA,23,HUMBOLDT PARK,27,11,0,610154
Josephine C Locke Elementary School,ES,2828 N Oak Park Ave ,60634,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610041.pdf,No,Average,57.0,Average,47,Average,49.0,Average,56.0,Average,44,Average,45,Average,47,Average,50,95.5%,2.2,95.1%,100.0%,63.4,39.5,36.1,30.5,55.3,63,58.7,46,64,70.5,26.1,33.8,21.1,15.6,0.7,1.7,Green,Green,23.9,45.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1317,29,NDA,18,MONTCLARE,36,25,0,610041
Stephen Decatur Classical Elementary School,ES,7030 N Sacramento Ave ,60645,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609880.pdf,No,Very Strong,99.0,Very Strong,99,Very Strong,99.0,Very Strong,99.0,Very Strong,99,Very Strong,99,Average,52,Weak,46,96.2%,2.8,95.4%,100.0%,100,97.2,98.6,98.6,50.7,61.3,100,100,48.1,78.6,NDA,NDA,93.6,93.6,0.2,-1.0,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,289,32,NDA,2,WEST RIDGE,50,24,0,609880
Newton Bateman Elementary School,ES,4220 N Richmond St ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609792.pdf,No,Average,55.0,Weak,36,Average,50.0,Average,47.0,Weak,25,Weak,34,Average,52,Average,52,96.2%,0.2,96.7%,99.1%,68,33.4,35.8,36.6,54.2,49.6,52.6,47.1,65.1,57.6,12.5,34.5,21.7,16.1,-0.8,-0.1,Red,Yellow,27.4,67.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1015,31,NDA,16,IRVING PARK,33,17,0,609792
Nathan R Goldblatt Elementary School,ES,4257 W Adams St ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610348.pdf,No,Average,49.0,NDA,NDA,Very Strong,80.0,Very Strong,99.0,NDA,NDA,NDA,NDA,Average,53,Strong,58,92.9%,57.7,95.6%,100.0%,66.7,56,44.7,17.2,56.8,69.3,55.1,23.5,67.7,31.3,NDA,NDA,11.7,7.5,0.7,-1.1,Green,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,268,36,NDA,26,WEST GARFIELD PARK,28,11,1,610348
Thomas Chalmers Specialty Elementary School,ES,2745 W Roosevelt Rd ,60608,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609851.pdf,No,Weak,34.0,Strong,76,Weak,39.0,Average,45.0,Very Strong,88,Strong,78,NDA,NDA,NDA,NDA,94.4%,3.4,97.3%,100.0%,37.5,NDA,7.5,10.3,35.8,12.8,17.2,21.9,31.4,57.6,0,12.5,2.1,4.9,-0.7,1.2,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,288,39,NDA,29,NORTH LAWNDALE,28,10,1,609851
Frederic Chopin Elementary School,ES,2450 W Rice St ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609854.pdf,No,Very Strong,86.0,Very Strong,99,Very Strong,99.0,Very Strong,99.0,Very Strong,97,Very Strong,99,Average,49,Average,49,96.9%,1.7,96.0%,100.0%,67.5,59.7,59.8,41.5,59.8,72,59.3,56.3,67.4,70.1,60.6,45.5,57.6,47.6,3.1,4.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,269,35,NDA,24,WEST TOWN,1,13,0,609854
Samuel Gompers Fine Arts Options Elementary School,ES,12302 S State St ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609943.pdf,No,Weak,34.0,Average,42,Average,48.0,Average,52.0,Average,57,Average,59,Average,49,Average,47,93.6%,54.2,96.0%,100.0%,NDA,NDA,36.9,30.1,57.9,56.5,36.8,29.5,67.5,56.3,3.9,15.7,13.5,8.5,0.4,-0.7,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,285,48,NDA,53,WEST PULLMAN,9,5,0,609943
Carl von Linne Elementary School,ES,3221 N Sacramento Ave ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610039.pdf,No,Strong,68.0,Average,49,Strong,66.0,Strong,75.0,Weak,37,Average,44,Average,50,Strong,55,95.8%,1.8,96.3%,100.0%,66.1,41.2,40.2,29.7,51.3,72,49.4,44.2,64.4,67.6,20.4,40.7,24.8,15.1,1.2,0.9,Green,Green,48.2,24,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,644,31,NDA,21,AVONDALE,33,17,0,610039
Arthur Dixon Elementary School,ES,8306 S Saint Lawrence Ave ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609887.pdf,No,Average,47.0,NDA,NDA,Average,47.0,Average,52.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.8%,32.2,95.6%,100.0%,69.7,35.5,42.8,37.8,51.8,70.8,43.5,44.5,51.3,49.4,22.1,31.6,22.0,15.7,-0.3,0.7,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,652,45,NDA,44,CHATHAM,6,6,0,609887
James Wadsworth Elementary School,ES,6420 S University Ave ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610213.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,47,Average,49,92.2%,8.0,95.5%,100.0%,78,45.1,13.4,22.3,60.6,35.6,NDA,NDA,NDA,NDA,NDA,NDA,5.4,5.4,-1.3,-0.6,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,277,46,NDA,42,WOODLAWN,20,3,1,610213
Jane A Neil Elementary School,ES,8555 S Michigan Ave ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610093.pdf,No,Average,42.0,Average,41,Weak,27.0,Weak,28.0,Average,40,Weak,36,Average,52,Average,53,88.9%,5.0,94.6%,100.0%,NDA,47.4,25,32.3,51.7,60.4,38.1,41.7,62.7,69.9,3.4,13.8,11.4,7.1,-0.7,1.0,Red,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,306,45,NDA,44,CHATHAM,6,6,1,610093
Walter Reed Elementary School,ES,6350 S Stewart Ave ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610264.pdf,No,Weak,29.0,NDA,NDA,Strong,62.0,Strong,68.0,NDA,NDA,NDA,NDA,Average,47,Average,51,92.4%,75.5,93.2%,100.0%,NDA,NDA,43.2,34.1,65.9,65.9,66,20,93.6,75.6,0,5.3,28.6,9.9,2.0,-0.3,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,44,45,NDA,68,ENGLEWOOD,20,7,1,610264
Edward Jenner Elementary Academy of the Arts,ES,1119 N Cleveland Ave ,60610,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610012.pdf,No,Average,50.0,Weak,34,Strong,62.0,Average,41.0,Weak,20,Weak,26,Average,49,Average,53,88.9%,16.0,94.8%,98.7%,34.8,21.3,21.9,10.7,42.3,57.7,37.1,14.5,69.4,46.7,4.3,25.5,8.2,1.3,2.0,0.2,Green,Yellow,45.8,31.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,314,33,NDA,8,NEAR NORTH SIDE,27,18,1,610012
Kate S Kellogg Elementary School,ES,9241 S Leavitt St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610016.pdf,No,Strong,76.0,NDA,NDA,Average,57.0,Strong,63.0,NDA,NDA,NDA,NDA,Average,53,Weak,46,96.3%,12.0,95.4%,91.8%,78.8,10,49.4,67.8,65.5,65.5,52,77.5,49,64.7,17.5,47.5,24.2,30.9,-0.4,0.7,Yellow,Yellow,28.2,36.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,283,49,NDA,72,BEVERLY,19,22,0,610016
Charles Allen Prosser Career Academy High School,HS,2148 N Long Ave ,60639,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609679.pdf,No,Average,59.0,Average,47,Average,53.0,Average,51.0,Weak,37,Average,44,Weak,46,Weak,45,86.0%,9.7,94.4%,99.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,15.5,15.1,16.3,16.2,0.7,17.9,1.6,27.7,78.7,58,1415,29,79.4,19,BELMONT CRAGIN,37,25,0,609679
Nicholson Technology Academy,ES,6006 S Peoria St ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609793.pdf,No,Average,48.0,Weak,37,Strong,74.0,Strong,73.0,Average,42,Weak,39,NDA,NDA,NDA,NDA,93.4%,6.0,97.0%,100.0%,NDA,NDA,39.1,18.6,54.1,58.5,64.3,34.5,69.4,56.7,21.2,21.2,22.6,8.9,1.9,-0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,464,45,NDA,68,ENGLEWOOD,16,7,0,609793
Simon Guggenheim Elementary School,ES,7141 S Morgan St ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610283.pdf,No,Weak,30.0,NDA,NDA,Weak,38.0,Weak,22.0,NDA,NDA,NDA,NDA,Average,48,Average,47,90.9%,29.5,93.1%,100.0%,NDA,NDA,3.5,9.8,33.3,31.6,16.2,15.3,38.6,40.9,4.5,13.6,4.2,6.6,-1.7,0.9,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,291,45,NDA,68,ENGLEWOOD,17,7,1,610283
Marine Military Math and Science Academy ,HS,145 S Campbell Ave ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610502.pdf,No,Average,41.0,Average,49,Weak,38.0,Weak,34.0,Average,53,Weak,35,Strong,54,Average,49,91.3%,4.5,95.3%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14,15,15.9,15.3,1.3,17.7,1.8,37.7,NDA,NDA,366,38,86.3,28,NEAR WEST SIDE,2,11,0,610502
Wendell Phillips Academy High School,HS,244 E Pershing Rd ,60653,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609727.pdf,No,NDA,,Strong,71,NDA,,NDA,,Very Strong,80,Strong,79,NDA,NDA,NDA,NDA,63.0%,22.0,96.1%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.5,12.8,13.4,12.9,1.4,15,1.6,2.5,40.3,42.6,590,40,32.1,35,DOUGLAS,3,2,1,609727
Ernst Prussing Elementary School,ES,4650 N Menard Ave ,60630,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610137.pdf,No,Strong,71.0,NDA,NDA,Average,49.0,Average,42.0,NDA,NDA,NDA,NDA,Weak,43,Weak,44,95.4%,23.4,96.0%,98.5%,84.6,NDA,55.4,54,48.3,58.2,56,57.4,52.3,46.3,47.2,75.5,31.4,24.5,-0.8,-0.1,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,672,30,NDA,15,PORTAGE PARK,45,16,0,610137
Hawthorne Elementary Scholastic Academy,ES,3319 N Clifton Ave ,60657,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609974.pdf,Yes,Very Strong,92.0,Very Strong,88,Strong,61.0,Average,56.0,Very Strong,90,Very Strong,84,Strong,58,Average,52,96.9%,1.2,96.5%,100.0%,85.3,56.9,82.7,83.3,58.6,62.5,89.1,87.4,65.1,62.9,79,80.6,75.1,66.0,1.8,2.2,Green,Green,98.4,91.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,569,33,NDA,6,LAKE VIEW,44,19,0,609974
Johann W von Goethe Elementary School,ES,2236 N Rockwell St ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609942.pdf,No,Strong,75.0,Strong,61,Strong,68.0,Average,52.0,Strong,62,Strong,69,Strong,57,Average,53,95.8%,5.6,97.0%,99.1%,72.7,55.1,40.6,42.4,68.6,80.2,57.6,52.7,71.2,59.6,21.4,31.4,24.9,17.6,-0.8,-0.7,Red,Red,20.5,29.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,786,35,NDA,22,LOGAN SQUARE,1,14,0,609942
Pulaski International Academy Elmentary School,ES,2230 W McLean Ave ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610138.pdf,No,Strong,68.0,Average,45,Average,54.0,Average,57.0,Weak,26,Weak,23,Average,47,Average,47,96.1%,1.7,96.2%,100.0%,75.2,48.5,38.3,38.5,54.5,58.3,56.7,46,71.1,56.7,33.3,44,24.2,19.4,0.5,1.2,Green,Green,37.3,53.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,864,35,NDA,22,LOGAN SQUARE,32,14,0,610138
Fairfield Elementary Academy,ES,6201 S Fairfield Ave ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610057.pdf,No,Weak,31.0,Weak,24,Average,41.0,Weak,34.0,Average,45,Weak,25,NDA,NDA,NDA,NDA,93.4%,43.4,93.3%,98.6%,49,36.8,15.9,11.1,27.3,42,20.5,17.8,44.7,35.8,0,12.5,4.1,4.3,0.1,-0.7,Yellow,Yellow,16.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,604,43,NDA,66,CHICAGO LAWN,15,8,1,610057
Bret Harte Elementary School,ES,1556 E 56th St ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609969.pdf,No,Strong,63.0,NDA,NDA,Strong,77.0,Strong,76.0,NDA,NDA,NDA,NDA,Average,47,Weak,44,94.2%,17.9,95.4%,98.5%,57.1,NDA,52.8,60,66.1,60.8,43.8,60.4,60.4,64.6,NDA,NDA,27.5,21.9,0.4,0.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,340,46,NDA,41,HYDE PARK,5,2,1,609969
John H Kinzie Elementary School,ES,5625 S Mobile Ave ,60638,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610026.pdf,No,Strong,64.0,NDA,NDA,Average,49.0,Average,54.0,NDA,NDA,NDA,NDA,Average,50,Average,48,95.4%,14.9,95.3%,99.1%,62,NDA,62.6,42.6,51.6,67.6,68.3,50.2,60,56.4,36.7,40.5,32.6,19.7,0.4,-0.3,Yellow,Yellow,26.5,63.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,733,44,NDA,56,GARFIELD RIDGE,23,8,0,610026
Graeme Stewart Elementary School,ES,4525 N Kenmore Ave ,60640,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610187.pdf,No,Average,49.0,NDA,NDA,Average,46.0,Average,57.0,NDA,NDA,NDA,NDA,Average,47,Average,52,95.2%,77.0,96.1%,100.0%,47.4,44.2,23.6,25.8,66.3,52.9,31.7,46,59.3,55.9,9.1,40.9,11.9,9.7,0.5,1.1,Yellow,Yellow,30.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,280,32,NDA,3,UPTOWN,46,19,1,610187
Jackie Robinson Elementary School,ES,4225 S Lake Park Ave ,60653,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610256.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Weak,45,Average,47,90.5%,47.9,93.8%,100.0%,52,30.6,10.6,21.3,39.1,26.1,NDA,NDA,NDA,NDA,NDA,NDA,6.5,6.4,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,140,40,NDA,36,OAKLAND,4,2,1,610256
South Shore Fine Arts Academy,ES,1415 E 70th St ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610530.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,56,Strong,55,93.6%,22.4,96.3%,100.0%,77.2,46.5,29.2,20.8,40,54.5,NDA,NDA,NDA,NDA,NDA,NDA,20.8,0.0,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,255,46,NDA,43,SOUTH SHORE,5,3,0,610530
